product_id,product_name,timestamp,source,rating,text,label
P005,Smartwatch Pulse S,2024-05-28T07:52:13,allegro,5,Idealny na prezent.,1
P008,Tablet Note 10,2025-06-14T20:14:05,euro,4,"Dobre materiały, trwałe wykończenie.",1
P005,Smartwatch Pulse S,2025-05-12T01:32:41,komputronik,4,Bateria trzyma długo.,1
P008,Tablet Note 10,2024-07-07T18:00:56,ceneo,5,Działa bez zarzutu.,1
P006,Głośnik Bluetooth Wave,2024-06-13T22:18:55,mediaexpert,4,Bardzo dobra jakość w stosunku do ceny.,1
P006,Głośnik Bluetooth Wave,2025-03-20T08:18:25,allegro,4,"Dobre materiały, trwałe wykończenie.",1
P010,Mysz Laser Pro,2025-02-17T09:12:29,allegro,4,Bateria trzyma długo.,1
P002,Laptop Aero 15,2024-03-17T23:38:23,euro,5,Najlepszy zakup w tym roku!,1
P008,Tablet Note 10,2024-11-14T20:36:01,euro,4,Prosty montaż.,1
P005,Smartwatch Pulse S,2024-10-30T17:50:58,komputronik,4,Cicha praca urządzenia.,1
P010,Mysz Laser Pro,2024-08-10T03:31:52,komputronik,5,"Świetny produkt, polecam!",1
P006,Głośnik Bluetooth Wave,2024-07-17T03:00:10,allegro,5,Dobra relacja jakości do ceny.,1
P010,Mysz Laser Pro,2025-05-28T08:48:15,euro,5,Prosty montaż.,1
P001,Smartfon Nova X1,2024-12-04T13:14:41,mediaexpert,4,"Solidne wykonanie, wygląda elegancko.",1
P002,Laptop Aero 15,2024-11-26T11:25:30,ceneo,4,Idealny na prezent.,1
P006,Głośnik Bluetooth Wave,2024-06-14T01:24:50,ceneo,4,Zaskakująco wydajny.,1
P007,Kamera Action Go,2024-01-10T20:10:03,komputronik,4,Estetyczny design.,1
P010,Mysz Laser Pro,2024-08-28T11:34:36,mediaexpert,4,Szybka dostawa i dobra komunikacja.,1
P002,Laptop Aero 15,2025-07-21T12:57:04,komputronik,4,Zaskakująco wydajny.,1
P006,Głośnik Bluetooth Wave,2025-01-15T00:27:27,ceneo,4,"Solidne wykonanie, wygląda elegancko.",1
P003,Słuchawki Bass Pro,2024-12-04T22:23:35,ceneo,4,Szybka dostawa i dobra komunikacja.,1
P007,Kamera Action Go,2025-05-16T16:53:22,opineo,5,Cicha praca urządzenia.,1
P002,Laptop Aero 15,2025-06-01T06:53:40,komputronik,4,Estetyczny design.,1
P008,Tablet Note 10,2024-12-11T18:31:09,mediaexpert,5,"Solidne wykonanie, wygląda elegancko.",1
P009,Klawiatura Mech K,2025-02-06T04:40:11,komputronik,5,"Solidne wykonanie, wygląda elegancko.",1
P002,Laptop Aero 15,2025-07-06T06:31:09,komputronik,4,Cicha praca urządzenia.,1
P005,Smartwatch Pulse S,2024-01-29T11:59:31,mediaexpert,4,Obsługa klienta na plus.,1
P007,Kamera Action Go,2024-05-04T12:59:05,komputronik,4,Spełnia wszystkie oczekiwania.,1
P008,Tablet Note 10,2025-04-05T05:07:16,mediaexpert,4,Prosty montaż.,1
P001,Smartfon Nova X1,2025-05-30T16:36:25,allegro,4,Estetyczny design.,1
P007,Kamera Action Go,2025-06-25T21:04:42,amazon,5,Idealny na prezent.,1
P009,Klawiatura Mech K,2024-09-04T16:33:08,ceneo,4,Idealny na prezent.,1
P005,Smartwatch Pulse S,2024-01-26T14:02:25,komputronik,4,Działa bez zarzutu.,1
P001,Smartfon Nova X1,2025-01-28T06:44:41,euro,5,Dobra relacja jakości do ceny.,1
P009,Klawiatura Mech K,2025-01-02T12:03:09,komputronik,5,Spełnia wszystkie oczekiwania.,1
P009,Klawiatura Mech K,2024-03-18T08:30:29,allegro,4,"Świetny produkt, polecam!",1
P006,Głośnik Bluetooth Wave,2025-04-04T22:05:35,komputronik,5,Działa bez zarzutu.,1
P008,Tablet Note 10,2025-03-31T00:51:39,komputronik,4,Spełnia wszystkie oczekiwania.,1
P005,Smartwatch Pulse S,2025-07-14T13:21:13,ceneo,5,Działa bez zarzutu.,1
P007,Kamera Action Go,2024-01-03T16:56:23,allegro,4,Dobra relacja jakości do ceny.,1
P002,Laptop Aero 15,2025-07-11T10:22:18,opineo,4,Najlepszy zakup w tym roku!,1
